,date,adj_close,close,high,low,open,volume,symbol
2429,2024-08-28,546.7938232421875,558.2999877929688,561.6500244140625,555.0399780273438,561.2100219726562,41066000,SPY
2430,2024-08-29,546.8428344726562,558.3499755859375,563.6799926757812,557.1799926757812,560.3099975585938,38715200,SPY
2431,2024-08-30,552.06298828125,563.6799926757812,564.2000122070312,557.1400146484375,560.77001953125,62700100,SPY
2432,2024-09-03,540.7020874023438,552.0800170898438,560.8099975585938,549.510009765625,560.469970703125,60600100,SPY
2433,2024-09-04,539.5953369140625,550.9500122070312,554.4299926757812,549.4600219726562,550.2000122070312,47224900,SPY
2434,2024-09-05,538.282958984375,549.6099853515625,553.7999877929688,547.0999755859375,550.8900146484375,44264300,SPY
2435,2024-09-06,529.2236328125,540.3599853515625,551.5999755859375,539.4400024414062,549.9400024414062,68493800,SPY
2436,2024-09-09,535.1488037109375,546.4099731445312,547.7100219726562,542.6799926757812,544.6500244140625,40445800,SPY
2437,2024-09-10,537.4798583984375,548.7899780273438,549.1500244140625,543.3800048828125,548.3599853515625,36394600,SPY
2438,2024-09-11,542.9937744140625,554.4199829101562,555.3599853515625,539.9600219726562,548.7000122070312,75248600,SPY
2439,2024-09-12,547.5675659179688,559.0900268554688,559.4000244140625,552.739990234375,555.010009765625,51819600,SPY
2440,2024-09-13,550.4274291992188,562.010009765625,563.030029296875,559.4500122070312,559.7100219726562,39310500,SPY
2441,2024-09-16,551.2402954101562,562.8400268554688,563.1099853515625,559.9000244140625,561.739990234375,36656100,SPY
2442,2024-09-17,551.465576171875,563.0700073242188,566.5800170898438,560.7899780273438,565.0999755859375,49321000,SPY
2443,2024-09-18,549.8300170898438,561.4000244140625,568.6900024414062,560.8300170898438,563.739990234375,59044900,SPY
2444,2024-09-19,559.2125244140625,570.97998046875,572.8800048828125,568.0800170898438,571.010009765625,75315500,SPY
2445,2024-09-20,558.245849609375,568.25,569.3099975585938,565.1699829101562,567.8400268554688,77503100,SPY
2446,2024-09-23,559.6408081054688,569.6699829101562,570.3300170898438,568.0999755859375,569.3400268554688,44116900,SPY
2447,2024-09-24,561.2421264648438,571.2999877929688,571.3599853515625,567.5999755859375,570.47998046875,46805700,SPY
2448,2024-09-25,560.0042724609375,570.0399780273438,571.8900146484375,568.9099731445312,571.1400146484375,38428600,SPY
2449,2024-09-26,562.2245483398438,572.2999877929688,574.7100219726562,569.9000244140625,574.3800048828125,48336000,SPY
2450,2024-09-27,561.4089965820312,571.469970703125,574.219970703125,570.4199829101562,573.3900146484375,42100900,SPY
2451,2024-09-30,563.6588745117188,573.760009765625,574.3800048828125,568.0800170898438,570.4199829101562,63557400,SPY
2452,2024-10-01,558.6092529296875,568.6199951171875,574.0599975585938,566.0,573.4000244140625,72668800,SPY
2453,2024-10-02,558.8450927734375,568.8599853515625,569.9000244140625,565.27001953125,567.7100219726562,38097800,SPY
2454,2024-10-03,557.8234252929688,567.8200073242188,569.7999877929688,565.489990234375,567.3599853515625,40846500,SPY
2455,2024-10-04,562.8925170898438,572.97998046875,573.3599853515625,568.0999755859375,572.3499755859375,42939100,SPY
2456,2024-10-07,557.8037719726562,567.7999877929688,571.9600219726562,566.6300048828125,571.2999877929688,49964700,SPY
2457,2024-10-08,563.0792846679688,573.1699829101562,573.780029296875,569.530029296875,570.4199829101562,37398700,SPY
2458,2024-10-09,566.9793701171875,577.1400146484375,577.7100219726562,572.5499877929688,573.1599731445312,37912200,SPY
2459,2024-10-10,565.987060546875,576.1300048828125,577.5800170898438,574.489990234375,575.77001953125,44138100,SPY
2460,2024-10-11,569.3762817382812,579.5800170898438,580.3300170898438,575.9099731445312,576.0499877929688,42268000,SPY
2461,2024-10-14,574.0328369140625,584.3200073242188,585.27001953125,580.72998046875,581.219970703125,36217200,SPY
2462,2024-10-15,569.5728759765625,579.780029296875,584.9000244140625,578.5399780273438,584.5900268554688,54203600,SPY
2463,2024-10-16,572.0485229492188,582.2999877929688,582.8300170898438,578.9600219726562,579.780029296875,30725400,SPY
2464,2024-10-17,572.0975341796875,582.3499755859375,586.1199951171875,582.1599731445312,585.9099731445312,34393700,SPY
2465,2024-10-18,574.298095703125,584.5900268554688,585.3900146484375,582.5800170898438,584.0700073242188,37416800,SPY
2466,2024-10-21,573.3550415039062,583.6300048828125,584.8499755859375,580.5999755859375,583.8499755859375,36439000,SPY
2467,2024-10-22,573.050537109375,583.3200073242188,584.5,580.3800048828125,581.0499877929688,34183800,SPY
2468,2024-10-23,567.8143310546875,577.989990234375,581.7100219726562,574.4199829101562,581.260009765625,49314600,SPY
2469,2024-10-24,569.0423583984375,579.239990234375,580.0599975585938,576.5700073242188,579.97998046875,34979900,SPY
2470,2024-10-25,568.8458251953125,579.0399780273438,584.4600219726562,578.0800170898438,581.510009765625,47268200,SPY
2471,2024-10-28,570.6043701171875,580.8300170898438,582.7100219726562,580.52001953125,582.5800170898438,30174700,SPY
2472,2024-10-29,571.52783203125,581.77001953125,582.9099731445312,578.4299926757812,579.8499755859375,42899700,SPY
2473,2024-10-30,569.7987670898438,580.010009765625,583.3200073242188,579.2899780273438,581.2899780273438,41435800,SPY
2474,2024-10-31,558.6289672851562,568.6400146484375,575.6300048828125,568.4400024414062,575.5599975585938,60182500,SPY
2475,2024-11-01,560.9866943359375,571.0399780273438,575.5499877929688,570.6199951171875,571.3200073242188,45667500,SPY
2476,2024-11-04,559.7783203125,569.8099975585938,572.5,567.8900146484375,571.1799926757812,38217000,SPY
2477,2024-11-05,566.547119140625,576.7000122070312,576.739990234375,570.52001953125,570.739990234375,39478300,SPY
2478,2024-11-06,580.6345825195312,591.0399780273438,591.9299926757812,585.3900146484375,589.2000122070312,68182000,SPY
2479,2024-11-07,585.1240844726562,595.6099853515625,596.6500244140625,593.0,593.0800170898438,47233200,SPY
