date,adj_close,close,high,low,open,volume,symbol,return_1,return_5,log_return_1,sma_20,sma_50,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,roc_5,roc_10,bb_width,bb_pct_b,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio
2026-02-11,2870.873779296875,2909.800048828125,2998.0,2904.199951171875,2980.0,3363513,TCS.NS,-0.02506200039558537,-0.029775614657847393,-0.025381400155547466,3104.4600219726562,3184.7580078125,-0.06270332739567352,-0.08633558917502626,3036.7159491771886,3082.2796235324035,3103.266781437141,-0.055958444972818766,0.327331502053961,-66.55083225995259,-42.93065490940767,-0.029775614657847393,-0.0907159276176206,0.13931985656209256,0.019823951196370763,73.81666002926865,0.02536829293785912,0.012561904537630675,0.08160669385365313,54664577.0,-0.057963531110536315,3098.224293725157,-0.06081685089057254
2026-02-12,2713.31005859375,2750.10009765625,2880.0,2740.0,2869.800048828125,10612156,TCS.NS,-0.054883479446016126,-0.08069527071494231,-0.05644705691595457,3082.3400268554688,3177.0460107421877,-0.10778821489664203,-0.13438455459642495,2992.6212027893516,3050.643478210865,3077.1062863422603,-0.09851802831148171,0.25550435454049264,-84.48508355290869,-51.24154063810788,-0.08069527071494231,-0.12539747390069556,0.1837356589424428,0.0,80.6726163720441,0.029334429114342662,0.016557537141393443,0.06239472760748551,44052421.0,-0.1941322257007495,3050.5347958616117,-0.09848591093369419
2026-02-13,2656.1845703125,2692.199951171875,2713.0,2585.0,2585.0,11168735,TCS.NS,-0.021053832380035886,-0.08478383811691026,-0.021278625072805042,3057.3250244140627,3167.290009765625,-0.11942631886584054,-0.1499989129915218,2946.402548694355,3016.5059994452467,3048.5947059592686,-0.10751049337644725,0.23534120583919702,-102.19215726491348,-61.431663963469006,-0.08478383811691026,-0.13819263250015978,0.2237118436196765,0.0,86.70315074948738,0.032205316217967676,0.14013065512663397,0.056416698935219105,32883686.0,-0.25353283080627964,3001.501655865105,-0.10304898685923991
2026-02-16,2670.39208984375,2706.60009765625,2719.800048828125,2671.0,2700.0,2918730,TCS.NS,0.0053488398876564425,-0.08194825911301973,0.005334585650082242,3032.320031738281,3156.8380126953125,-0.10741608097853439,-0.14262306562085802,2909.509863919262,2986.991151655818,3023.261772010897,-0.09387073471715346,0.2511688357881151,-113.75190809163496,-71.8957127891022,-0.08194825911301973,-0.14607521003749457,0.244240733816584,0.007277778727923599,83.99578632653292,0.031033689239599205,0.15895437602124182,0.10521418942975615,35802416.0,0.0887592102661483,2981.5238416902835,-0.09220913822314891
2026-02-17,2681.04736328125,2717.39990234375,2760.0,2695.199951171875,2716.0,4209118,TCS.NS,0.003990173759637505,-0.08952629718210059,0.003982234129649039,3010.0100219726564,3146.42201171875,-0.0972123406543145,-0.1363523735141442,2879.9544852153376,2961.3157945784783,3000.605337220738,-0.08236740326083591,0.263481876435321,-120.65085200540034,-81.64674063236184,-0.08952629718210059,-0.15747376640784616,0.25959503059558603,0.085199365837019,82.62466221950379,0.030405779490990725,0.17307176776960784,0.15738559963916096,40011534.0,0.11756519448296454,2961.5462173138462,-0.08243879955097899
2026-02-18,2658.848388671875,2694.89990234375,2730.0,2657.300048828125,2730.0,2950820,TCS.NS,-0.008279973801645357,-0.07385392222084897,-0.008314443186997481,2989.6400146484375,3135.590009765625,-0.09858715793892903,-0.14054455654258668,2851.4845493889397,2935.942852460885,2977.960490192813,-0.08210069549381549,0.2541073376753371,-126.47594080387307,-90.61258066666409,-0.07385392222084897,-0.10143049094967782,0.2794336008964246,0.10860256183940234,81.9157542875303,0.030396585125958966,0.14366000306372548,0.1585620489515248,37060714.0,-0.07374923440825842,2944.209803412292,-0.08467803509776906
2026-02-19,2642.075927734375,2677.89990234375,2748.699951171875,2666.60009765625,2708.0,3238849,TCS.NS,-0.006308212036081562,-0.02625366086639247,-0.006328192878878238,2967.4050048828126,3124.9820068359377,-0.09756170865206704,-0.14306709719102062,2824.7792190742953,2911.3673334021105,2955.7337799817715,-0.08019167776590375,0.24695787941098374,-130.9545609074762,-98.68097671482653,-0.02625366086639247,-0.10483038531046296,0.29538551480677466,0.13400707619384877,81.92890423239422,0.030594461040417697,0.12143778084150327,0.14605651722494525,33821865.0,-0.08739305454287793,2931.1382362051136,-0.08639590270202546
2026-02-20,2650.264892578125,2686.199951171875,2702.60009765625,2647.5,2667.0,2293482,TCS.NS,0.0030994619406277124,-0.0022286606154153787,0.0030946685106155543,2944.1950073242188,3114.9220068359373,-0.08762838586117239,-0.1376349246379841,2803.459331704692,2889.9228208087548,2935.7683111810384,-0.07049422502565905,0.25793564391263757,-132.3089794763464,-105.4065772671305,-0.0022286606154153787,-0.08682354433149075,0.30129276363957497,0.1812249328295571,80.01256090552677,0.029786524592341195,0.132287517871732,0.13246176725898667,36115347.0,0.06781063078573579,2918.971342213177,-0.07974432214357197
2026-02-23,2640.497314453125,2676.300048828125,2704.0,2660.199951171875,2686.0,4699596,TCS.NS,-0.0036854673977010366,-0.011194874652654785,-0.0036922754650918423,2919.885009765625,3104.610009765625,-0.08342279237806427,-0.13795934419789946,2783.8963651082972,2869.577794905838,2916.5484398956373,-0.0673540708395588,0.25319449231265906,-132.6520747873401,-110.85567677117243,-0.011194874652654785,-0.09222573327690109,0.3047871851267868,0.20137994837692774,77.42595289999807,0.028930221383024923,0.170654296875,0.14145986519607817,31415751.0,-0.13012739431798892,2900.73013310209,-0.0773702047332323
2026-02-24,2539.269775390625,2573.699951171875,2647.5,2561.300048828125,2641.0,7798833,TCS.NS,-0.038336545149777024,-0.05288141471114871,-0.03909072855741303,2890.6700073242187,3091.6740087890626,-0.10965279860697441,-0.1675383808722013,2751.5584552719247,2841.3989526454607,2891.1522555457286,-0.09421380310721472,0.21009355144864345,-139.59380027380394,-116.60330147169873,-0.05288141471114871,-0.13767343464440918,0.32604740860098314,0.12227166035162713,80.10981340714106,0.031126321998283017,0.026472896944905726,0.10980490389721233,23616918.0,-0.24824595152921858,2863.5419740269544,-0.1012180109403038
2026-02-25,2594.126220703125,2629.300048828125,2654.199951171875,2595.0,2596.0,3621285,TCS.NS,0.02160317780281029,-0.024342222677203318,0.021373136344911985,2862.1300048828125,3079.6560107421874,-0.08134849068961858,-0.14623580047354967,2732.7494696651856,2821.1990570438093,2871.755795788869,-0.0680203715992892,0.2814752222240645,-139.00632612368327,-121.08390640209564,-0.024342222677203318,-0.0963983762777676,0.3106967370855654,0.21498874246623223,80.13768387805956,0.030478713874354812,0.1510104211113575,0.11604587164375417,27238203.0,0.15333435971620002,2844.853713766871,-0.07576968330414824
2026-02-26,2612.27978515625,2647.699951171875,2671.0,2635.0,2650.0,3464267,TCS.NS,0.006998023048738977,-0.011277475735909093,0.006973650525698719,2837.2950073242187,3068.5080078125,-0.06682246846483053,-0.1371376758897931,2719.664928358523,2804.6753326750536,2855.15906655798,-0.05596918105792237,0.30389395707589173,-135.4941381994572,-123.96595276156795,-0.011277475735909093,-0.037235061578901996,0.2994427391839009,0.2608642787934866,77.39213154190352,0.02922994786763873,0.19187184760161546,0.12311838855262598,30702470.0,0.12718412444462657,2829.7817903742584,-0.06434483387438217
2026-02-27,2602.11767578125,2637.39990234375,2688.60009765625,2626.10009765625,2681.60009765625,5083717,TCS.NS,-0.0038901873392286346,-0.01816694576546163,-0.0038977737995553314,2812.970007324219,3056.9000048828125,-0.062414495896981226,-0.13723056098301922,2707.0087705100964,2788.7443393101676,2839.028758097667,-0.05426974241886029,0.2982833885828623,-132.01998758757054,-125.57675972676847,-0.01816694576546163,-0.02035511842434712,0.2895306605585918,0.2700782682501083,76.32840786033898,0.028940779057627566,0.16899810185157574,0.17062679018818264,25618753.0,-0.1655800657080685,2811.464935153211,-0.061912574698348655
2026-03-02,2578.537353515625,2613.5,2623.800048828125,2580.300048828125,2592.0,3374385,TCS.NS,-0.009061918263707835,-0.023465249666465238,-0.009103227193151287,2785.165002441406,3043.55400390625,-0.06163548740951752,-0.14129994189500072,2692.6228058162355,2772.0544022330087,2822.3229241645067,-0.05719743526868959,0.2851290852772603,-129.7001183482712,-126.40143145106902,-0.023465249666465238,-0.034397433790410714,0.26960504931161694,0.25636973480421593,74.95493969285943,0.02867990805160108,0.11953276164056705,0.16013423703125249,22244368.0,-0.13171542736681996,2794.842116829839,-0.06488456565680123
2026-03-04,2553.181396484375,2587.800048828125,2635.0,2580.39990234375,2625.0,3446434,TCS.NS,-0.009833537850344354,0.005478532044821183,-0.009882206402538962,2753.290002441406,3029.6700048828125,-0.060106255957976584,-0.14584755281682205,2676.496227818064,2754.5063685754008,2804.9508593247747,-0.06052130488755936,0.27127525633555094,-128.45463150671048,-126.81207146219732,0.005478532044821183,-0.04769259519139801,0.22829990353214227,0.21988575859983908,73.50102240453019,0.028402898607956528,0.08315031082545896,0.12389372477253364,18797934.0,-0.15493512784899077,2767.362262667526,-0.06488569142599954
2026-03-05,2544.3017578125,2578.800048828125,2609.5,2546.39990234375,2600.0,2960636,TCS.NS,-0.0034778575740717077,-0.019206632587447703,-0.0034839193795361046,2732.275,3014.7480078125,-0.05617112156421844,-0.14460510724433606,2661.4660464349968,2737.7724333613746,2788.1989474361335,-0.05806632523436839,0.2663938231930621,-126.73290100113672,-126.79623736998522,-0.019206632587447703,-0.04308132313732804,0.2181078420782685,0.2271345474610132,72.75809920822446,0.02821393587350352,0.15168600969704174,0.11812302738768898,15837298.0,-0.15749794631686653,2728.5800025991116,-0.05489300428366162
2026-03-06,2523.385498046875,2557.60009765625,2619.199951171875,2553.60009765625,2572.0,3998643,TCS.NS,-0.008220858837624467,-0.03402948037059361,-0.008254836442501539,2710.5800048828123,2999.700009765625,-0.05643807116963373,-0.14738137502753734,2645.4866696998047,2720.6131632942197,2771.117551156142,-0.05991776700829732,0.25476453409392674,-125.63088145633719,-126.56316618725562,-0.03402948037059361,-0.04492318946731777,0.20598111932020496,0.20961489256912427,72.24679594446737,0.02824788598134374,0.0524353473401714,0.09575722262089044,11838655.0,-0.2524826520281427,2711.266212631159,-0.056676881915547095
2026-03-09,2493.589111328125,2527.39990234375,2560.0,2505.0,2530.0,3653428,TCS.NS,-0.011808020863064206,-0.0417077440179805,-0.011878289242836742,2689.8699951171875,2983.8680078125,-0.060400723108686605,-0.1529786519623536,2627.31947472195,2702.211900346556,2753.0643919848535,-0.0646921871598547,0.23877356325906987,-125.74491726290353,-126.3995164023852,-0.0417077440179805,-0.05911698745986771,0.19926138052566744,0.1773911112499493,71.01488194843398,0.028097999799152992,0.08784275428921569,0.09732137044214267,8185227.0,-0.3086016105714712,2691.366428893258,-0.06092315219111
2026-03-10,2479.480712890625,2513.10009765625,2545.199951171875,2490.10009765625,2541.0,4323710,TCS.NS,-0.005657911387208392,-0.03841587998612972,-0.0056739779988110505,2668.1150024414064,2968.530009765625,-0.05809903420329077,-0.15341933907056327,2609.7472628656888,2684.2012524712886,2735.2892590716237,-0.06374378771245615,0.23136822974154186,-125.54199620593499,-126.22801236309517,-0.03841587998612972,-0.06097969143756343,0.18483634876627744,0.1662845682218691,69.87809420323333,0.027805535588655048,0.0889404989497038,0.07640620019303003,3861517.0,-0.5282333648168829,2676.1190726498717,-0.060916188916886105
2026-03-11,2431.92529296875,2464.89990234375,2521.0,2460.10009765625,2508.10009765625,2720664,TCS.NS,-0.019179576395485398,-0.047492133922800495,-0.019365890602929734,2642.129992675781,2952.7980078125,-0.06707849001499877,-0.1652324690608269,2587.463053554621,2663.315409601999,2715.260417832522,-0.07449944026265365,0.2079564634013559,-127.79736427790067,-126.54188274605629,-0.047492133922800495,-0.042273789055552236,0.1596338964136571,0.04958478036640129,69.2367947846988,0.02808908983235587,0.016631348315081992,0.06447153385133357,1140853.0,-0.7045583380831937,2658.25636011117,-0.07273807773729313
2026-03-12,2409.726318359375,2442.39990234375,2472.89990234375,2436.0,2459.800048828125,2752075,TCS.NS,-0.00912815971902381,-0.05289287416694399,-0.009170076646880146,2618.7599853515626,2936.7100048828124,-0.06734488230853908,-0.16832104692570338,2565.1456456760257,2642.2758374821656,2695.0485277963166,-0.07564537066988364,0.19789009285149162,-129.902882120291,-127.21408262090324,-0.05289287416694399,-0.07108361275377306,0.14117327210318178,0.0,66.92701675320247,0.027402153385683758,0.023880232625932835,0.04315069329690594,-1611222.0,-2.4122958873754987,2641.338103236909,-0.07531720405250808
